#### nerulio

| kind | n | fail | size exact % | size ¡¾1 % | median scale_err | mean acc % | mean acc_tol % | mean dE | fringe % | mean ms |
| kind | n | fail | size exact % | size ¡¾1 % | median scale_err | mean acc % | mean acc_tol % | mean dE | fringe % | mean ms |
|---|---|---|---|---|---|---|---|---|---|---|
| **overall** | 69 | 0 | 26 | 42 | 0.028 | 40.7 | 64.8 | 0.096 | 9.5 | 65 |
| nearest-int | 20 | 0 | 85 | 85 | 0.000 | 77.7 | 82.2 | 0.048 | 1.2 | 35 |
| nearest-frac | 9 | 0 | 0 | 0 | 0.200 | 32.9 | 34.8 | 0.158 | 0.6 | 16 |
| smooth-resample | 14 | 0 | 0 | 0 | 0.090 | 39.8 | 48.5 | 0.123 | 29.6 | 65 |
| jpeg | 10 | 0 | 10 | 60 | 0.000 | 11.2 | 73.2 | 0.089 | 8.7 | 84 |
| blur | 6 | 0 | 0 | 67 | 0.000 | 47.8 | 68.5 | 0.046 | 10.9 | 66 |
| ai-sim | 10 | 0 | 0 | 20 | 0.018 | 0.0 | 68.9 | 0.139 | 5.9 | 152 |
| phase (tag) | 9 | 0 | 44 | 44 | 0.091 | 54.3 | 58.4 | 0.094 | 10.0 | 37 |

ai-real (no truth): horror_monster 84x85/16c, gosoythoth 95x13/15c, guns 209x166/16c, bones 210x166/16c, asteroids 30x25/15c, turrets 209x166/16c, gosoythoth_f0 11x9/11c

#### unfake-lib

| kind | n | fail | size exact % | size ¡¾1 % | median scale_err | mean acc % | mean acc_tol % | mean dE | fringe % | mean ms |
|---|---|---|---|---|---|---|---|---|---|---|
| **overall** | 69 | 0 | 25 | 41 | 0.028 | 44.6 | 64.6 | 0.086 | 9.8 | 67 |
| nearest-int | 20 | 0 | 80 | 80 | 0.000 | 78.8 | 80.1 | 0.049 | 0.2 | 31 |
| nearest-frac | 9 | 0 | 0 | 0 | 0.200 | 34.5 | 35.0 | 0.160 | 0.3 | 15 |
| smooth-resample | 14 | 0 | 0 | 0 | 0.090 | 42.4 | 49.4 | 0.120 | 31.6 | 59 |
| jpeg | 10 | 0 | 10 | 60 | 0.000 | 17.6 | 74.6 | 0.092 | 9.5 | 85 |
| blur | 6 | 0 | 0 | 67 | 0.000 | 60.0 | 71.3 | 0.045 | 4.6 | 55 |
| ai-sim | 10 | 0 | 0 | 20 | 0.014 | 6.2 | 67.6 | 0.059 | 10.1 | 186 |
| phase (tag) | 9 | 0 | 67 | 67 | 0.000 | 71.0 | 72.5 | 0.053 | 9.7 | 26 |

ai-real (no truth): horror_monster 84x85/38c, gosoythoth 95x13/53c, guns 209x166/36c, bones 210x166/50c, asteroids 30x25/31c, turrets 209x166/35c, gosoythoth_f0 11x9/27c

